timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643195447419,2473,HomePage,200,OK,Thread Group 1-2,text,true,,46041,117,16,16,https://lifecharger.org/,1963,0,640
1643195447741,2366,HomePage,200,OK,Thread Group 1-4,text,true,,46041,117,18,18,https://lifecharger.org/,1845,0,539
1643195448075,2795,HomePage,200,OK,Thread Group 1-6,text,true,,46041,117,22,22,https://lifecharger.org/,2272,0,546
1643195447910,4725,HomePage,200,OK,Thread Group 1-5,text,true,,46041,117,33,33,https://lifecharger.org/,4209,0,544
1643195448246,4800,HomePage,200,OK,Thread Group 1-7,text,true,,46041,117,35,35,https://lifecharger.org/,3947,0,543
1643195451081,2450,HomePage,500,Internal Server Error,Thread Group 1-24,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,38,38,https://lifecharger.org/,2449,0,1561
1643195453047,508,AboutPage,500,Internal Server Error,Thread Group 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,160,38,38,https://lifecharger.org/about,508,0,0
1643195447302,6444,HomePage,200,OK,Thread Group 1-1,text,true,,46041,117,39,39,https://lifecharger.org/,5916,0,757
1643195452749,1063,HomePage,500,Internal Server Error,Thread Group 1-34,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,40,40,https://lifecharger.org/,1063,0,537
1643195451916,2073,HomePage,500,Internal Server Error,Thread Group 1-29,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,41,41,https://lifecharger.org/,2073,0,1553
1643195451580,2486,HomePage,500,Internal Server Error,Thread Group 1-27,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,41,41,https://lifecharger.org/,2485,0,1562
1643195453748,548,AboutPage,500,Internal Server Error,Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,160,43,43,https://lifecharger.org/about,548,0,0
1643195450911,3532,HomePage,500,Internal Server Error,Thread Group 1-23,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,44,44,https://lifecharger.org/,3531,0,545
1643195453418,1096,HomePage,500,Internal Server Error,Thread Group 1-38,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,44,44,https://lifecharger.org/,1095,0,533
1643195453085,1443,HomePage,500,Internal Server Error,Thread Group 1-36,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,44,44,https://lifecharger.org/,1443,0,537
1643195452583,2092,HomePage,500,Internal Server Error,Thread Group 1-33,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,45,45,https://lifecharger.org/,2092,0,549
1643195453533,1148,AboutPage,500,Internal Server Error,Thread Group 1-24,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,122,45,45,https://lifecharger.org/about,1148,0,541
1643195452249,2632,HomePage,500,Internal Server Error,Thread Group 1-31,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,46,46,https://lifecharger.org/,2632,0,1544
1643195453753,1141,HomePage,500,Internal Server Error,Thread Group 1-40,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,46,46,https://lifecharger.org/,1140,0,539
1643195453250,1718,HomePage,500,Internal Server Error,Thread Group 1-37,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,47,47,https://lifecharger.org/,1718,0,1114
1643195452926,2116,HomePage,500,Internal Server Error,Thread Group 1-35,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,47,47,https://lifecharger.org/,2116,0,1159
1643195453556,1496,ArchivesPage,500,Internal Server Error,Thread Group 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,163,47,47,https://lifecharger.org/archives,1496,0,527
1643195453585,1468,HomePage,500,Internal Server Error,Thread Group 1-39,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,47,47,https://lifecharger.org/,1467,0,538
1643195448743,6375,HomePage,200,OK,Thread Group 1-10,text,true,,46041,117,48,48,https://lifecharger.org/,5430,0,537
1643195453990,1184,AboutPage,500,Internal Server Error,Thread Group 1-29,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,122,48,48,https://lifecharger.org/about,1183,0,544
1643195453919,1259,HomePage,500,Internal Server Error,Thread Group 1-41,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,48,48,https://lifecharger.org/,1258,0,544
1643195454253,1267,HomePage,500,Internal Server Error,Thread Group 1-43,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,50,50,https://lifecharger.org/,1266,0,540
1643195454586,1068,HomePage,500,Internal Server Error,Thread Group 1-45,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,117,51,51,https://lifecharger.org/,1068,0,534
1643195454682,1078,ArchivesPage,500,Internal Server Error,Thread Group 1-24,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,125,52,52,https://lifecharger.org/archives,1078,0,558
1643195454444,1406,AboutPage,500,Internal Server Error,Thread Group 1-23,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",895,122,52,52,https://lifecharger.org/about,1405,0,524
